"pmuri","pm","partyname","partynameenglish","electiondate","position"
"http://dbpedia.org/resource/Harold_Wilson","The Lord Wilson of Rievaulx","Labour Party",,1966-03-31,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Edward_Heath","Sir Edward Heath",,"Conservative Party",1970-06-18,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Edward_Heath","Heath, Edward Richard George, Sir",,"Conservative Party",1970-06-18,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Harold_Wilson","Wilson, James Harold, Baron Wilson of Rievaulx","Labour Party",,1974-02-28,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Harold_Wilson","The Lord Wilson of Rievaulx","Labour Party",,1974-02-28,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Harold_Wilson","Wilson, James Harold, Baron Wilson of Rievaulx","Labour Party",,1974-10-10,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Harold_Wilson","The Lord Wilson of Rievaulx","Labour Party",,1974-10-10,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Margaret_Thatcher","Thatcher, Margaret Hilda, Baroness Thatcher",,"Conservative Party",1979-05-03,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Margaret_Thatcher","The Baroness Thatcher",,"Conservative Party",1979-05-03,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Margaret_Thatcher","Thatcher, Margaret Hilda, Baroness Thatcher",,"Conservative Party",1983-06-09,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Margaret_Thatcher","The Baroness Thatcher",,"Conservative Party",1983-06-09,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Margaret_Thatcher","Thatcher, Margaret Hilda, Baroness Thatcher",,"Conservative Party",1987-06-11,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Margaret_Thatcher","The Baroness Thatcher",,"Conservative Party",1987-06-11,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/John_Major","Major, John, Sir",,"Conservative Party",1992-04-09,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/John_Major","Sir John Major",,"Conservative Party",1992-04-09,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Tony_Blair","Tony Blair","Labour Party",,1997-05-01,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Tony_Blair","Blair, Tony","Labour Party",,1997-05-01,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Tony_Blair","Tony Blair","Labour Party",,2001-06-07,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Tony_Blair","Blair, Tony","Labour Party",,2001-06-07,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Tony_Blair","Tony Blair","Labour Party",,2005-05-05,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Tony_Blair","Blair, Tony","Labour Party",,2005-05-05,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/David_Cameron","David Cameron",,"Conservative Party",2006-05-04,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/David_Cameron","Cameron, David",,"Conservative Party",2006-05-04,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/David_Cameron","David Cameron",,"Conservative Party",2007-05-03,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/David_Cameron","Cameron, David",,"Conservative Party",2007-05-03,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Gordon_Brown","Gordon Brown","Labour Party",,2010-05-06,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Gordon_Brown","Brown, James Gordon","Labour Party",,2010-05-06,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/David_Cameron","David Cameron",,"Conservative Party",2010-05-06,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/David_Cameron","Cameron, David",,"Conservative Party",2010-05-06,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/David_Cameron","David Cameron",,"Conservative Party",2015-06-11,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/David_Cameron","Cameron, David",,"Conservative Party",2015-06-11,"http://dbpedia.org/resource/Centre-right"
